'OTIME','equip_cd','mode','count_no','ok','quality_ng','cool_ng','press','quality','out_trigger','shot_type','Shot_No'
2024-09-28 16:46:10.548,'EQ00007','A','1753','1461','0','292','1','0','1','A',
2024-09-28 16:45:37.548,'EQ00007','A','1752','1460','0','292','1','0','1','A',
2024-09-28 16:45:04.549,'EQ00007','A','1751','1459','0','292','1','0','1','A',
2024-09-28 16:44:32.548,'EQ00007','A','1750','1458','0','292','1','0','1','A',
2024-09-28 16:43:59.549,'EQ00007','A','1749','1457','0','292','0','0','1','C',
2024-09-28 16:31:21.559,'EQ00007','A','1748','1457','0','291','1','0','1','A',
2024-09-28 16:30:49.559,'EQ00007','A','1747','1456','0','291','1','0','1','A',
2024-09-28 16:30:16.560,'EQ00007','A','1746','1455','0','291','1','0','1','A',
2024-09-28 16:29:43.561,'EQ00007','A','1745','1454','0','291','1','0','1','A',
2024-09-28 16:29:19.578,'EQ00009','A','1707','1680','0','27','1','0','1','A',
2024-09-28 16:29:11.575,'EQ00007','A','1744','1453','0','291','1','0','1','A',
2024-09-28 16:28:38.562,'EQ00007','A','1743','1452','0','291','1','0','1','A',
2024-09-28 16:28:05.577,'EQ00007','A','1742','1451','0','291','1','0','1','A',
2024-09-28 16:27:33.562,'EQ00007','A','1741','1450','0','291','1','0','1','A',
2024-09-28 16:27:23.578,'EQ00009','A','1706','1679','0','27','1','0','1','A',
2024-09-28 16:27:00.562,'EQ00007','A','1740','1449','0','291','1','0','1','A',
2024-09-28 16:26:36.580,'EQ00009','A','1705','1678','0','27','1','0','1','A',
2024-09-28 16:25:49.577,'EQ00009','A','1704','1677','0','27','1','0','1','A',
2024-09-28 16:25:02.566,'EQ00009','A','1703','1676','0','27','1','0','1','A',
2024-09-28 16:24:15.581,'EQ00009','A','1702','1675','0','27','1','0','1','A',
2024-09-28 16:23:28.582,'EQ00009','A','1701','1674','0','27','1','0','1','A',
2024-09-28 16:22:41.581,'EQ00009','A','1700','1673','0','27','1','0','1','A',
2024-09-28 16:22:41.566,'EQ00007','A','1739','1448','0','291','1','0','1','A',
2024-09-28 16:22:09.567,'EQ00007','A','1738','1447','0','291','1','0','1','A',
2024-09-28 16:21:54.583,'EQ00009','A','1699','1672','0','27','1','0','1','A',
2024-09-28 16:21:36.566,'EQ00007','A','1737','1446','0','291','1','0','1','A',
2024-09-28 16:21:07.584,'EQ00009','A','1698','1671','0','27','1','0','1','A',
2024-09-28 16:21:03.567,'EQ00007','A','1736','1445','0','291','1','0','1','A',
2024-09-28 16:20:31.567,'EQ00007','A','1735','1444','0','291','1','0','1','A',
2024-09-28 16:20:20.583,'EQ00009','A','1697','1670','0','27','1','0','1','A',
2024-09-28 16:19:58.567,'EQ00007','A','1734','1443','0','291','1','0','1','A',
2024-09-28 16:19:34.585,'EQ00009','A','1696','1669','0','27','1','0','1','A',
2024-09-28 16:19:25.568,'EQ00007','A','1733','1442','0','291','1','0','1','A',
2024-09-28 16:18:53.569,'EQ00007','A','1732','1441','0','291','1','0','1','A',
2024-09-28 16:18:47.570,'EQ00009','A','1695','1668','0','27','1','0','1','A',
2024-09-28 16:18:20.569,'EQ00007','A','1731','1440','0','291','1','0','1','A',
2024-09-28 16:18:00.586,'EQ00009','A','1694','1667','0','27','1','0','1','A',
2024-09-28 16:17:47.569,'EQ00007','A','1730','1439','0','291','1','0','1','A',
2024-09-28 16:17:15.571,'EQ00007','A','1729','1438','0','291','1','0','1','A',
2024-09-28 16:17:13.587,'EQ00009','A','1693','1666','0','27','1','0','1','A',
2024-09-28 16:16:42.570,'EQ00007','A','1728','1437','0','291','1','0','1','A',
2024-09-28 16:16:26.586,'EQ00009','A','1692','1665','0','27','1','0','1','A',
2024-09-28 16:15:39.588,'EQ00009','A','1691','1664','0','27','1','0','1','A',
2024-09-28 16:15:19.571,'EQ00007','A','1727','1436','0','291','1','0','1','A',
2024-09-28 16:14:52.589,'EQ00009','A','1690','1663','0','27','1','0','1','A',
2024-09-28 16:14:46.572,'EQ00007','A','1726','1435','0','291','1','0','1','A',
2024-09-28 16:14:13.572,'EQ00007','A','1725','1434','0','291','1','0','1','A',
2024-09-28 16:14:05.589,'EQ00009','A','1689','1662','0','27','1','0','1','A',
2024-09-28 16:13:41.573,'EQ00007','A','1724','1433','0','291','1','0','1','A',
2024-09-28 16:13:18.589,'EQ00009','A','1688','1661','0','27','1','0','1','A',
2024-09-28 16:13:08.574,'EQ00007','A','1723','1432','0','291','1','0','1','A',
2024-09-28 16:12:35.573,'EQ00007','A','1722','1431','0','291','1','0','1','A',
2024-09-28 16:12:31.588,'EQ00009','A','1687','1660','0','27','1','0','1','A',
2024-09-28 16:12:03.574,'EQ00007','A','1721','1430','0','291','1','0','1','A',
2024-09-28 16:11:44.590,'EQ00009','A','1686','1659','0','27','1','0','1','A',
2024-09-28 16:11:30.574,'EQ00007','A','1720','1429','0','291','1','0','1','A',
2024-09-28 16:10:57.590,'EQ00009','A','1685','1658','0','27','1','0','1','A',
2024-09-28 16:10:57.575,'EQ00007','A','1719','1428','0','291','1','0','1','A',
2024-09-28 16:10:24.576,'EQ00007','A','1718','1427','0','291','1','0','1','A',
2024-09-28 16:10:10.592,'EQ00009','A','1684','1657','0','27','1','0','1','A',
2024-09-28 16:09:52.576,'EQ00007','A','1717','1426','0','291','1','0','1','A',
2024-09-28 16:09:24.593,'EQ00009','A','1683','1656','0','27','1','0','1','A',
2024-09-28 16:09:19.575,'EQ00007','A','1716','1425','0','291','1','0','1','A',
2024-09-28 16:08:46.576,'EQ00007','A','1715','1424','0','291','1','0','1','A',
2024-09-28 16:08:37.594,'EQ00009','A','1682','1655','0','27','1','0','1','A',
2024-09-28 16:08:14.577,'EQ00007','A','1714','1423','0','291','1','0','1','A',
2024-09-28 16:07:50.593,'EQ00009','A','1681','1654','0','27','1','0','1','A',
2024-09-28 16:07:41.578,'EQ00007','A','1713','1422','0','291','1','0','1','A',
2024-09-28 16:07:08.577,'EQ00007','A','1712','1421','0','291','1','0','1','A',
2024-09-28 16:07:03.594,'EQ00009','A','1680','1653','0','27','1','0','1','A',
2024-09-28 16:06:36.593,'EQ00007','A','1711','1420','0','291','1','0','1','A',
2024-09-28 16:06:16.595,'EQ00009','A','1679','1652','0','27','1','0','1','A',
2024-09-28 16:06:03.578,'EQ00007','A','1710','1419','0','291','1','0','1','A',
2024-09-28 16:05:30.579,'EQ00007','A','1709','1418','0','291','1','0','1','A',
2024-09-28 16:05:29.595,'EQ00009','A','1678','1651','0','27','1','0','1','A',
2024-09-28 16:04:57.580,'EQ00007','A','1708','1417','0','291','1','0','1','A',
2024-09-28 16:04:42.596,'EQ00009','A','1677','1650','0','27','1','0','1','A',
2024-09-28 16:03:55.596,'EQ00009','A','1676','1649','0','27','1','0','1','A',
2024-09-28 16:03:08.597,'EQ00009','A','1675','1648','0','27','1','0','1','A',
2024-09-28 16:02:21.598,'EQ00009','A','1674','1647','0','27','1','0','1','A',
2024-09-28 16:01:34.599,'EQ00009','A','1673','1646','0','27','1','0','1','A',
2024-09-28 16:00:47.599,'EQ00009','A','1672','1645','0','27','1','0','1','A',
2024-09-28 16:00:31.583,'EQ00007','A','1707','1416','0','291','1','0','1','A',
2024-09-28 16:00:01.600,'EQ00009','A','1671','1644','0','27','1','0','1','A',
2024-09-28 15:59:59.582,'EQ00007','A','1706','1415','0','291','1','0','1','A',
2024-09-28 15:59:26.583,'EQ00007','A','1705','1414','0','291','1','0','1','A',
2024-09-28 15:59:14.601,'EQ00009','A','1670','1643','0','27','1','0','1','A',
2024-09-28 15:58:53.584,'EQ00007','A','1704','1413','0','291','1','0','1','A',
2024-09-28 15:58:27.601,'EQ00009','A','1669','1642','0','27','1','0','1','A',
2024-09-28 15:58:21.585,'EQ00007','A','1703','1412','0','291','1','0','1','A',
2024-09-28 15:57:48.585,'EQ00007','A','1702','1411','0','291','1','0','1','A',
2024-09-28 15:57:40.602,'EQ00009','A','1668','1641','0','27','1','0','1','A',
2024-09-28 15:57:15.585,'EQ00007','A','1701','1410','0','291','1','0','1','A',
2024-09-28 15:56:53.603,'EQ00009','A','1667','1640','0','27','1','0','1','A',
2024-09-28 15:56:43.586,'EQ00007','A','1700','1409','0','291','1','0','1','A',
